OBJECTID,TERRIER_NO,WARDS
129848,7957,00FFPA
129849,2515,00FFPD
129851,1809,00FFNL
129858,3243,00FFNL
129859,0571,00FFNY
129883,1008,00FFPD
129884,1473,00FFNJ
129908,3241,00FFNW
129910,3170,00FFNU
129911,2820,00FFNS
129913,8109,00FFPA
129941,0385,00FFNU
129947,2674,00FFPD
129952,1066,00FFNP
129972,2473,00FFNS
129993,3304,00FFNP
130007,1946,00FFNP
130032,1951,00FFNY
130033,1498,00FFNM
130038,1937,00FFNY
130039,3094,00FFNY
130049,2463,00FFNJ
130055,0476A,00FFNU
130058,2684,00FFNP
130059,3083B,00FFNS
130061,2474,00FFNY
130062,2408,00FFNP
130066,3114,00FFNP
130067,1444,00FFNM
130072,8092,00FFxx1
130075,9522,00FFNP
130077,8049,00FFxx2
130078,9522,00FFNP
130079,7940,00FFxx2
130081,2646,00FFNS
130089,2920,00FFNY
130092,0326,00FFNX
130095,0169,00FFNW
130098,3056,00FFNJ
130107,0146,00FFNS
130109,3084,00FFNS
130110,9628,00FFNS
130112,3199B,00FFPD
130124,2920,00FFNY
130125,2920A,00FFNL
130127,2477,00FFNJ
130137,8311,00FFxx4
130138,9519,00FFxx4
130139,7590,00FFxx4
130144,8088,00FFxx3
130147,7960,00FFNS
130148,0353,00FFxx2
130153,2313B,00FFNW
130157,0020,00FFNL
130158,1500,00FFNP
130159,9617,00FFNY
130160,2680A,00FFPD
130163,9549,00FFPA
130168,0004,00FFNY
133123,1860,00FFNP
136750,9644,
143183,2939,00FFNS
143585,9651,00FFNX
143987,9653,00FFPD
143988,9654,00FFPD
145197,9655,00FFPD
145205,0526,00FFNP
145208,0198A,00FFNP
145211,0134,00FFNP
145212,0135,00FFNP
148832,0415,00FFNP
149237,3199A,00FFPD
149245,9527,00FFNP
150047,0326,00FFNS
150049,0326,00FFNS
150050,9584,00FFNM
150051,9584,00FFNM
150453,9627,00FFPC
156116,0070,00FFNS
156117,0070,00FFNS
156925,9547,00FFNP
156927,0186,00FFNP
156935,0186,00FFNP
158541,9667,00FFPA
159351,,
160970,0222,00FFNS
161376,2594,00FFNL
161390,9667,00FFPA
161391,9667,00FFPA
161392,9667,00FFPA
161393,7957,00FFPA
161423,2467,00FFNP
161427,0070,00FFNT
161798,9702,00FFNX
161808,7985B,00FFPA
162188,0277A,00FFPD
162189,9701,00FFNY
162588,7985,00FFPA
162593,7985,00FFPA
162594,9447,00FFPA
162607,2833,00FFNY
162610,8029,00FFPC
163003,9631,00FFNP
163004,9705,00FFNP
163005,9705,00FFNP
163015,1549,00FFNJ
163016,2616,
163017,1545,
163018,1324,00FFNU
163019,3247,
163020,1543,00FFNU
163021,1324,00FFNU
163022,2127,00FFNU
163023,2405,00FFNU
163024,2165,00FFNU
163025,478,00FFNU
163026,459,00FFNU
163029,9293,
163030,2372,00FFNU
163032,2666,00FFNU
163033,2920,00FFNU
163034,2920,
163035,3081,00FFNU
163036,3081,00FFNU
163037,1821,00FFNP
163038,2160,00FFNU
163039,9527,00FFNY
163040,2548,
163041,9551,00FFNY
163042,4467,00FFNY
163043,157,00FFNY
163044,157,00FFNY
163045,158,00FFNY
163046,157,
163047,2664,
163048,105,00FFNY
163049,127,00FFNP
163050,881,00FFNY
163051,3364,00FFNY
163052,3098,00FFNY
163053,2977,00FFNY
163054,350,00FFNY
163055,3617,00FFNY
163056,332,00FFNP
163057,9703,00FFNP
163058,2700,00FFNY
163059,7218,00FFNY
163060,1940,
163061,3204,00FFNG
163062,3204,00FFNG
163063,3204,00FFNG
163064,3204,00FFNG
163065,462,00FFNG
163066,3204,00FFNG
163067,1549,00FFNJ
163069,1710,00FFNJ
163070,9253,00FFNP
163071,2897,00FFNP
163072,2897,00FFNP
163073,53,00FFNP
163076,0042,00FFNP
163077,0053,00FFNP
163078,0053,00FFNP
163079,0196,00FFNP
163080,3155,00FFNP
163081,0040,00FFNP
163082,0040,00FFNP
163083,1400,00FFNP
163084,0053,00FFNP
163089,0045,00FFNP
163090,0050,00FFNP
163091,0007,00FFNP
163094,0053,00FFNP
163096,1850,00FFNP
