Date,Hour,LocationName,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount
02/02/2014,0,Briggate,Sunday,2014,1,January,5,742
02/02/2014,0,Briggate at McDonalds ,Sunday,2014,1,January,5,431
02/02/2014,0,Commercial Street at Lush,Sunday,2014,1,January,5,115
02/02/2014,0,Commercial Street at Barratts,Sunday,2014,1,January,5,148
02/02/2014,0,Headrow,Sunday,2014,1,January,5,196
02/02/2014,0,Dortmund Square ,Sunday,2014,1,January,5,140
02/02/2014,0,Albion Street South,Sunday,2014,1,January,5,36
02/02/2014,0,Albion Street North,Sunday,2014,1,January,5,34
02/02/2014,1,Briggate,Sunday,2014,1,January,5,677
02/02/2014,1,Briggate at McDonalds ,Sunday,2014,1,January,5,446
02/02/2014,1,Commercial Street at Lush,Sunday,2014,1,January,5,84
02/02/2014,1,Commercial Street at Barratts,Sunday,2014,1,January,5,134
02/02/2014,1,Headrow,Sunday,2014,1,January,5,152
02/02/2014,1,Dortmund Square ,Sunday,2014,1,January,5,97
02/02/2014,1,Albion Street South,Sunday,2014,1,January,5,117
02/02/2014,1,Albion Street North,Sunday,2014,1,January,5,159
02/02/2014,2,Briggate,Sunday,2014,1,January,5,665
02/02/2014,2,Briggate at McDonalds ,Sunday,2014,1,January,5,324
02/02/2014,2,Commercial Street at Lush,Sunday,2014,1,January,5,92
02/02/2014,2,Commercial Street at Barratts,Sunday,2014,1,January,5,100
02/02/2014,2,Headrow,Sunday,2014,1,January,5,117
02/02/2014,2,Dortmund Square ,Sunday,2014,1,January,5,91
02/02/2014,2,Albion Street South,Sunday,2014,1,January,5,124
02/02/2014,2,Albion Street North,Sunday,2014,1,January,5,121
02/02/2014,3,Briggate,Sunday,2014,1,January,5,577
02/02/2014,3,Briggate at McDonalds ,Sunday,2014,1,January,5,315
02/02/2014,3,Commercial Street at Lush,Sunday,2014,1,January,5,24
02/02/2014,3,Commercial Street at Barratts,Sunday,2014,1,January,5,53
