LAD17CD,LAD17NM,CSP17CD,CSP17NM,PFA17CD,PFA17NM,FID
E07000112,Shepway,E22000145,Shepway,E23000032,Kent,317
E07000113,Swale,E22000146,Swale,E23000032,Kent,318
E07000114,Thanet,E22000147,Thanet,E23000032,Kent,319
E07000115,Tonbridge and Malling,E22000148,Tonbridge and Malling,E23000032,Kent,320
E07000116,Tunbridge Wells,E22000149,Tunbridge Wells,E23000032,Kent,321
E07000117,Burnley,E22000152,Burnley,E23000003,Lancashire,322
E07000118,Chorley,E22000153,Chorley,E23000003,Lancashire,323
E07000119,Fylde,E22000154,Fylde,E23000003,Lancashire,324
E07000120,Hyndburn,E22000155,Hyndburn,E23000003,Lancashire,325
E07000121,Lancaster,E22000156,Lancaster,E23000003,Lancashire,326
E07000122,Pendle,E22000157,Pendle,E23000003,Lancashire,327
E07000123,Preston,E22000158,Preston,E23000003,Lancashire,328
E07000124,Ribble Valley,E22000159,Ribble Valley,E23000003,Lancashire,329
E07000125,Rossendale,E22000160,Rossendale,E23000003,Lancashire,330
E07000126,South Ribble,E22000161,South Ribble,E23000003,Lancashire,331
E07000127,West Lancashire,E22000162,West Lancashire,E23000003,Lancashire,332
E07000128,Wyre,E22000163,Wyre,E23000003,Lancashire,333
E07000129,Blaby,E22000164,Blaby,E23000021,Leicestershire,334
E07000130,Charnwood,E22000165,Charnwood,E23000021,Leicestershire,335
E07000131,Harborough,E22000166,Harborough,E23000021,Leicestershire,336
E07000132,Hinckley and Bosworth,E22000167,Hinckley and Bosworth,E23000021,Leicestershire,337
E07000133,Melton,E22000169,Melton,E23000021,Leicestershire,338
E07000134,North West Leicestershire,E22000170,North West Leicestershire,E23000021,Leicestershire,339
E07000135,Oadby and Wigston,E22000171,Oadby and Wigston,E23000021,Leicestershire,340
E07000136,Boston,E22000173,Boston,E23000020,Lincolnshire,341
E07000137,East Lindsey,E22000174,East Lindsey,E23000020,Lincolnshire,342
E07000138,Lincoln,E22000175,Lincoln,E23000020,Lincolnshire,343
E07000139,North Kesteven,E22000176,North Kesteven,E23000020,Lincolnshire,344
E07000140,South Holland,E22000177,South Holland,E23000020,Lincolnshire,345
E07000141,South Kesteven,E22000178,South Kesteven,E23000020,Lincolnshire,346
E07000142,West Lindsey,E22000179,West Lindsey,E23000020,Lincolnshire,347
E07000143,Breckland,E22000218,Breckland,E23000024,Norfolk,348
