sample,date,latitude,longitude,size,sex,season,analyte,measured_value,lod,units,value,detected
TYP120718-03,7/18/2012,32.57794,-80.20734,L,male,summer,cortisol,1.09,0.181,ng/g ww,1.09,TRUE
TYP120718-04,7/18/2012,32.58151,-80.22098,L,male,summer,cortisol,1.06,0.181,ng/g ww,1.06,TRUE
TYP120719-01,7/19/2012,32.76243,-79.91124,L,male,summer,cortisol,1.28,0.181,ng/g ww,1.28,TRUE
TYP120724-01,7/24/2012,32.47217,-80.42187,L,male,summer,cortisol,0.243,0.181,ng/g ww,0.243,TRUE
TYP120724-02,7/24/2012,32.52462,-80.48184,L,male,summer,cortisol,1.6,0.181,ng/g ww,1.6,TRUE
TYP120724-03,7/24/2012,32.50175,-80.52306,L,male,summer,cortisol,2.57,0.181,ng/g ww,2.57,TRUE
TYP120724-04,7/24/2012,32.49846,-80.34969,L,male,summer,cortisol,0.629,0.181,ng/g ww,0.629,TRUE
TYP120726-01,7/26/2012,32.44485,-80.55469,L,male,summer,cortisol,7.18,0.181,ng/g ww,7.18,TRUE
TYP120731-01,7/31/2012,32.75371,-79.90562,L,male,summer,cortisol,2.54,0.181,ng/g ww,2.54,TRUE
TYP120731-02,7/31/2012,32.72825,-79.85874,L,male,summer,cortisol,0.471,0.181,ng/g ww,0.471,TRUE
TYP120731-03,7/31/2012,32.71359,-79.85281,L,male,summer,cortisol,1.25,0.181,ng/g ww,1.25,TRUE
TYP120731-04,7/31/2012,32.74626,-79.87216,L,male,summer,cortisol,0.399,0.181,ng/g ww,0.399,TRUE
TYP120731-05,7/31/2012,32.74382,-79.87291,L,male,summer,cortisol,0.692,0.181,ng/g ww,0.692,TRUE
TYP120814-02,8/14/2012,32.49521,-80.3481,L,male,summer,cortisol,2.22,0.181,ng/g ww,2.22,TRUE
TYP120814-03,8/14/2012,32.49074,-80.34679,L,male,summer,cortisol,NA,0.181,ng/g ww,0.181,FALSE
TYP120814-04,8/14/2012,32.50057,-80.35676,L,male,summer,cortisol,0.893,0.181,ng/g ww,0.893,TRUE
