OBJECTID,SOURCE_ID,SYMBOL,FEATURE_DESC,ANGLE
214796,11902,58,Farm Unit,271
214797,11902,110,Micro-Wave or Radio Tower,0
214798,11902,58,Farm Unit,180
214799,11902,58,Farm Unit,0
214800,11902,58,Farm Unit,270
214801,11902,58,Farm Unit,2
214802,11902,58,Dwelling other than Farm,271
214803,11902,58,Farm Unit,182
214804,11902,78,Gravel Pit,0
214805,11902,29,""Cemetery, North & South"",0
214806,11902,58,Farm Unit,180
214807,11902,58,Farm Unit,182
214808,11902,58,Farm Unit,0
214809,11902,59,Vacant Farm Unit,0
214810,21910,80,Schoolhouse,0
214811,11902,130,Minor Drainage Structure,5.56103979
214812,11901,7,Small City Center,0
214813,11902,7,Small City Center,0
214814,11902,7,Small City Center,0
214815,11901,6,County Seat,0
214816,11901,58,Farm Unit,270
214817,11901,113,Asterisk,0
214818,11901,58,Farm Unit,90
214819,11901,113,Asterisk,0
214820,11901,130,Minor Drainage Structure,0.86856387
214821,11901,130,Minor Drainage Structure,0
214822,11902,103,Sewage Disposal Plant,347.69954077
214823,11902,58,Farm Unit,0
214824,11902,60,Dwelling other than Farm,90
214825,11902,58,Farm Unit,90
214826,11902,58,Farm Unit,0
214827,11902,130,Minor Drainage Structure,0
214828,11902,58,Farm Unit,0
214829,11901,7,Small City Center,0
214830,11901,245,Butte,0
214831,11902,245,Butte,0
214832,11902,245,Butte,0
214833,11902,245,Butte,0
214834,11902,245,Butte,0
214835,11902,245,Butte,0
214836,11902,245,Butte,0
214837,11902,58,Farm Unit,0
214838,11902,60,Dwelling other than Farm,0
214839,11902,78,Gravel Pit,0
214840,21905,66,Seasonal Dwellings closely spaced,0
214841,21905,66,Seasonal Dwellings closely spaced,0
214842,11901,7,Small City Center,0
214843,11901,7,Small City Center,0
214844,11901,130,Minor Drainage Structure,0
214845,11902,129,""Highway Bridge, General"",1.34153969
214846,11901,78,Gravel Pit,0
214847,11901,59,Vacant Farm Unit,0
214848,11902,58,Farm Unit,0
214849,12001,78,Gravel Pit,0
214850,12001,58,Farm Unit,0
214851,12001,58,Farm Unit,0
214852,12001,59,Vacant Farm Unit,0
