Core.DepthRank,CoreName,Depth,Age.Yng,Age,Age.Old,LOI,
2,23A,378,-13.49,143.02,391.87,65.95,
2,23A,379,-11.82,149.73,395.03,67.89,
2,23A,380,-9.9,156.43,399.35,66.46,
2,23A,381,-7.63,163.16,403.75,65.96,
2,23A,382,-5.22,170.33,408.22,65.39,
2,23A,383,-2.42,177.51,411.98,64.28,
2,23A,384,1.22,184.68,415.41,60.62,
2,23A,385,3.46,191.86,418.6,63.53,
2,23A,386,6.44,199.03,422.39,64.38,
2,23A,387,8.87,206.21,426.6,65.3,
2,23A,388,11.59,213.38,429.96,65.38,
2,23A,389,14.19,220.55,432.34,65.07,
2,23A,390,17.08,227.73,434.84,63.71,
2,23A,391,20.13,234.9,437.64,63.36,
2,23A,392,23.18,242.08,439.71,62.36,
2,23A,393,26.25,249.25,442.46,61.76,
2,23A,394,29.63,256.42,445.19,40.72,
2,23A,395,32.81,263.6,447.74,52.6,
2,23A,396,35.16,270.77,450.18,65.78,
2,23A,397,39.14,277.95,452.71,66.29,
2,23A,398,43.24,284.94,455.1,68.07,
2,23A,399,46.63,291.43,457.12,67.42,
2,23A,400,51.43,298.6,460.06,67.54,
2,23A,401,55.78,305.4,463.11,67.33,
2,23A,402,60.45,311.9,465.19,65.32,
2,23A,403,65.69,318.36,467.31,68.43,
2,23A,404,72.27,325.09,469.24,69.3,
2,23A,405,76.98,332.06,471.08,69.46,
2,23A,406,80.39,338.78,472.86,68.85,
2,23A,407,87.43,345.61,474.96,68.43,
2,23A,408,93.56,352.57,476.9,66.52,
2,23A,409,99.19,359.66,478.8,67.46,
2,23A,410,106.32,366.7,480.74,71.12,
2,23A,411,112.39,373.43,482.5,78.71,
2,23A,412,118.37,380.49,484.14,75.98,
2,23A,413,127.27,387.45,485.89,73.7,
2,23A,414,134.39,394.28,487.74,79.36,
2,23A,415,142.19,401.25,489.4,80.35,
2,23A,416,152.76,408.04,490.95,80.22,
2,23A,417,163.37,414.98,492.46,79.28,
2,23A,418,170.99,422.21,494.17,80.35,
2,23A,419,181.79,429.57,495.76,79.44,
2,23A,420,191.42,436.75,497.37,80.06,
2,23A,421,204.1,444.17,498.99,79.88,
2,23A,422,214.7,451.8,500.54,78.88,
2,23A,423,229.15,459.38,502.17,79.07,
2,23A,424,246.09,466.91,503.78,78.3,
2,23A,425,265.93,474.73,505.33,77.42,
2,23A,426,284.52,482.58,507.11,64.98,
2,23A,427,312.2,490.5,508.92,86.65,
2,23A,428,348.73,498.46,513.45,87.67,
2,23A,429,427.09,506.93,520.04,87.44,
2,23A,430,500.32,516.36,607.28,87.55,
2,23A,431,509.21,526.56,679.84,87.81,
2,23A,432,514.76,536.76,721.81,88.96,
2,23A,433,517.95,546.95,747.91,87.89,
2,23A,434,520.95,557.15,767.24,88,
2,23A,435,523.74,567.34,780.95,89.17,
2,23A,436,526.34,577.54,793.32,87.91,
2,23A,437,529.08,587.73,807.87,81.82,
2,23A,438,531.85,597.93,817.46,78.44,
2,23A,439,534.62,608.12,827.94,81.45,
2,23A,440,537.35,618.32,836.34,82.25,
2,23A,441,540.33,628.51,845.21,83.65,
2,23A,442,543.31,638.71,853.51,82.75,
2,23A,443,546.27,648.9,859.61,81.28,
2,23A,444,549.45,659.1,866.12,79.35,
2,23A,445,552.4,669.29,870.51,80.46,
2,23A,446,555.86,679.49,875.41,84.61,
2,23A,447,559.11,689.68,880.67,83.78,
2,23A,448,562.52,699.88,885.48,80.33,
2,23A,449,565.99,710.07,889.21,76.25,
2,23A,450,570.16,720.27,894.03,74.16,
2,23A,451,573.76,730.47,898.49,67.32,
2,23A,452,577.53,740.66,902.05,74.79,
2,23A,453,582.22,750.86,905.29,81.71,
2,23A,454,586.73,761.05,908.79,80.78,
2,23A,455,592.06,771.25,912.1,79.66,
2,23A,456,597.8,781.44,915.98,74.77,
2,23A,457,603.62,791.64,918.74,59.74,
2,23A,458,609.79,801.83,921.57,84.04,
2,23A,459,615.83,812.03,924.51,68.07,
2,23A,460,621.32,822.22,927.49,70.41,
2,23A,461,627.36,832.42,930.23,83.11,
2,23A,462,633.39,842.61,933.11,85.32,
2,23A,463,640.19,852.81,935.68,85.89,
2,23A,464,648.93,863,938.49,85.75,
2,23A,465,658.45,873.2,941.72,86.45,
2,23A,466,668.4,883.39,945.37,87.15,
2,23A,467,678.69,893.59,949.15,86.65,
2,23A,468,694.07,903.78,952.15,86.37,
2,23A,469,709.98,913.98,956.57,87.2,
2,23A,470,728.46,924.18,965.41,88.22,
2,23A,471,755.34,934.23,976.24,89.22,
2,23A,472,793.08,944.35,989.22,89.02,
2,23A,473,866.24,954.72,1010.25,87.58,
2,23A,474,946.26,977.84,1213.79,85.23,
2,23A,475,967.96,1009.36,1386.49,83.56,
2,23A,476,977.98,1040.88,1465.57,80.33,
2,23A,477,987.5,1072.4,1517.14,77.07,
2,23A,478,996.31,1103.92,1561.12,78.65,
2,23A,479,1005.83,1135.44,1590.7,81.34,
2,23A,480,1015.34,1166.97,1622.25,72.47,
2,23A,481,1025.04,1198.49,1640.81,65.43,
2,23A,482,1034.26,1230.01,1663.23,74.59,
2,23A,483,1043.85,1261.53,1682.43,79.64,
2,23A,484,1053.96,1293.05,1696.28,73.12,
2,23A,485,1065.15,1324.57,1710.69,83.17,
2,23A,486,1075.77,1356.1,1725.32,74.82,
2,23A,487,1086.74,1387.62,1736.52,69.82,
2,23A,488,1097.38,1419.14,1750.57,64,
2,23A,489,1109.86,1450.66,1760.77,64.12,
2,23A,490,1123.62,1482.18,1770.26,82.48,
2,23A,491,1138.94,1513.7,1781.16,80.07,
2,23A,492,1152.65,1545.23,1791.41,75.59,
2,23A,493,1166.89,1576.75,1802.36,61.14,
2,23A,494,1186.47,1608.27,1812.5,35.99,
2,23A,495,1204.8,1639.79,1822.01,83.5,
2,23A,496,1228.98,1671.31,1831.23,84.75,
2,23A,497,1250.4,1702.83,1840.4,81.04,
2,23A,498,1277.48,1734.36,1849.42,76.53,
2,23A,499,1314.68,1765.88,1859.01,72.54,
2,23A,500,1366.46,1797.4,1868.38,82.12,
2,23A,501,1438.08,1828.92,1878.52,85.52,
2,23A,502,1539.82,1860.44,1891.09,80.32,
2,23A,503,1811.57,1891.96,1915.13,81.01,
2,23A,504,1845.92,1898.01,1950.92,76.06,
2,23A,505,1852.62,1901.32,1973.28,80.5,
