"country","year","value","climate_model","scenario","variable"
"CHN",1965,101.35782359393,"gfdl","historic","precipitation"
"CHN",1966,105.553733344309,"gfdl","historic","precipitation"
"CHN",1967,91.3112366068652,"gfdl","historic","precipitation"
"CHN",1968,95.1315498935336,"gfdl","historic","precipitation"
"CHN",1969,109.482279972592,"gfdl","historic","precipitation"
"CHN",1970,88.112889202919,"gfdl","historic","precipitation"
"CIV",1961,105.90289461963,"gfdl","historic","precipitation"
"CIV",1962,134.946991343926,"gfdl","historic","precipitation"
"CIV",1963,134.760722419047,"gfdl","historic","precipitation"
"CIV",1964,167.943860186573,"gfdl","historic","precipitation"
"CIV",1965,162.463085786788,"gfdl","historic","precipitation"
"CIV",1966,130.936594944281,"gfdl","historic","precipitation"
"CIV",1967,143.507284874765,"gfdl","historic","precipitation"
"CIV",1968,182.213192525019,"gfdl","historic","precipitation"
"CIV",1969,157.906430324226,"gfdl","historic","precipitation"
"CIV",1970,184.415716329037,"gfdl","historic","precipitation"
"CMR",1961,195.385397983262,"gfdl","historic","precipitation"
"CMR",1962,266.469795501605,"gfdl","historic","precipitation"
"CMR",1963,236.678971035227,"gfdl","historic","precipitation"
"CMR",1964,268.900952360928,"gfdl","historic","precipitation"
"CMR",1965,173.192884242326,"gfdl","historic","precipitation"
"CMR",1966,186.504263287214,"gfdl","historic","precipitation"
"CMR",1967,233.646206555217,"gfdl","historic","precipitation"
"CMR",1968,251.622616308337,"gfdl","historic","precipitation"
"CMR",1969,266.011019242474,"gfdl","historic","precipitation"
"CMR",1970,252.348338094047,"gfdl","historic","precipitation"
"COD",1961,181.457250695802,"gfdl","historic","precipitation"
"COD",1962,149.642506521967,"gfdl","historic","precipitation"
"COD",1963,140.577029833247,"gfdl","historic","precipitation"
"COD",1964,153.230492344769,"gfdl","historic","precipitation"
"COD",1965,125.970794313581,"gfdl","historic","precipitation"
"COD",1966,164.881960320452,"gfdl","historic","precipitation"
"COD",1967,155.471236166186,"gfdl","historic","precipitation"
"COD",1968,142.346320205515,"gfdl","historic","precipitation"
"COD",1969,193.152660301826,"gfdl","historic","precipitation"
"COD",1970,154.57674156449,"gfdl","historic","precipitation"
"COG",1961,146.777620959113,"gfdl","historic","precipitation"
"COG",1962,155.742854256896,"gfdl","historic","precipitation"
"COG",1963,145.408931110759,"gfdl","historic","precipitation"
"COG",1964,165.60323888738,"gfdl","historic","precipitation"
"COG",1965,167.658676056924,"gfdl","historic","precipitation"
"COG",1966,181.070516602626,"gfdl","historic","precipitation"
"COG",1967,153.084667035786,"gfdl","historic","precipitation"
"COG",1968,165.966852316841,"gfdl","historic","precipitation"
"COG",1969,165.834246516993,"gfdl","historic","precipitation"
"COG",1970,146.367839913283,"gfdl","historic","precipitation"
"COL",1961,459.11582582087,"gfdl","historic","precipitation"
"COL",1962,240.979154929645,"gfdl","historic","precipitation"
"COL",1963,161.821176793698,"gfdl","historic","precipitation"
"COL",1964,163.63907932541,"gfdl","historic","precipitation"
"COL",1965,186.87024353993,"gfdl","historic","precipitation"
"COL",1966,218.799816025755,"gfdl","historic","precipitation"
"COL",1967,150.519031043065,"gfdl","historic","precipitation"
"COL",1968,142.019276429015,"gfdl","historic","precipitation"
"COL",1969,106.583833240235,"gfdl","historic","precipitation"
"COL",1970,128.72425247754,"gfdl","historic","precipitation"
"CRI",1961,287.362277294155,"gfdl","historic","precipitation"
"CRI",1962,328.06545911369,"gfdl","historic","precipitation"
"CRI",1963,329.487051703262,"gfdl","historic","precipitation"
"CRI",1964,650.668345256565,"gfdl","historic","precipitation"
"CRI",1965,149.023974626147,"gfdl","historic","precipitation"
"CRI",1966,359.414597024109,"gfdl","historic","precipitation"
"CRI",1967,294.990801920747,"gfdl","historic","precipitation"
"CRI",1968,247.095252659214,"gfdl","historic","precipitation"
"CRI",1969,114.574232374087,"gfdl","historic","precipitation"
"CRI",1970,145.705954168424,"gfdl","historic","precipitation"
"CUB",1961,102.290147884144,"gfdl","historic","precipitation"
"CUB",1962,238.883876582471,"gfdl","historic","precipitation"
"CUB",1963,279.08736678655,"gfdl","historic","precipitation"
"CUB",1964,272.020632973478,"gfdl","historic","precipitation"
"CUB",1965,124.203749637381,"gfdl","historic","precipitation"
"CUB",1966,127.925453520199,"gfdl","historic","precipitation"
"CUB",1967,182.096091434179,"gfdl","historic","precipitation"
"CUB",1968,194.674847441767,"gfdl","historic","precipitation"
"CUB",1969,162.489235418744,"gfdl","historic","precipitation"
"CUB",1970,126.680171177055,"gfdl","historic","precipitation"
"DEU",1961,"gfdl","historic","precipitation"
"DEU",1962,"gfdl","historic","precipitation"
"DEU",1963,"gfdl","historic","precipitation"
"DEU",1964,"gfdl","historic","precipitation"
"DEU",1965,"gfdl","historic","precipitation"
"DEU",1966,"gfdl","historic","precipitation"
"DEU",1967,"gfdl","historic","precipitation"
"DEU",1968,"gfdl","historic","precipitation"
"DEU",1969,"gfdl","historic","precipitation"
"DEU",1970,"gfdl","historic","precipitation"
"DJI",1961,"gfdl","historic","precipitation"
"DJI",1962,"gfdl","historic","precipitation"
"DJI",1963,"gfdl","historic","precipitation"
"DJI",1964,"gfdl","historic","precipitation"
"DJI",1965,"gfdl","historic","precipitation"
"DJI",1966,"gfdl","historic","precipitation"
"DJI",1967,"gfdl","historic","precipitation"
"DJI",1968,"gfdl","historic","precipitation"
"DJI",1969,"gfdl","historic","precipitation"
"DJI",1970,"gfdl","historic","precipitation"
"DOM",1961,441.232656941456,"gfdl","historic","precipitation"
"DOM",1962,161.927974198102,"gfdl","historic","precipitation"
"DOM",1963,271.587964107481,"gfdl","historic","precipitation"
"DOM",1964,187.206660015475,"gfdl","historic","precipitation"
"DOM",1965,84.7868723633111,"gfdl","historic","precipitation"
