CalBP	OC_(wt%)	TC_(wt%)		CalBP	OC+SD_(wt%)	TC+SD_(wt%)		CalYr_AD	CalBP	Marine_Temp_(degC)
								1652.0	358	6.6
								1651.2	359	5.9
								1650.3	360	7.0
								1649.5	361	7.0
								1648.7	362	6.0
								1647.8	363	8.0
								1647.0	364	7.5
								1646.2	365	7.1
								1645.3	366	8.6
								1644.5	367	7.9
								1643.7	368	6.8
								1642.8	369	6.9
								1642.0	370	7.3
								1641.2	371	7.1
								1640.3	372	8.5
								1639.5	373	8.6
								1638.7	374	8.7
								1637.9	375	7.2
								1637.0	376	7.2
								1636.2	377	7.5
								1635.4	378	7.5
								1634.5	379	7.3
								1633.7	380	6.9
								1632.9	381	7.2
								1632.0	382	7.3
								1631.2	383	5.1
								1630.4	384	6.2
								1629.5	385	8.5
								1628.7	386	7.0
								1627.9	387	6.7
								1627.0	388	7.2
								1626.2	389	7.2
								1625.4	390	4.9
								1624.5	391	6.2
								1623.7	392	7.3
								1622.9	393	6.1
								1622.1	394	6.4
								1621.2	395	6.4
								1620.4	396	6.5
								1619.6	397	8.0
								1618.7	398	6.3
								1617.9	399	4.9
								1617.1	400	7.7
								1616.2	401	2.6
								1615.4	402	2.9
								1614.6	403	6.6
								1613.7	404	5.5
								1612.9	405	4.4
								1612.1	406	5.8
								1611.2	407	6.0
								1610.4	408	6.7
								1609.6	409	6.0
								1608.7	410	5.3
								1607.9	411	5.9
								1607.1	412	3.1
								1606.3	413	5.4
								1605.4	414	4.6
								1604.6	415	5.6
								1603.8	416	4.9
								1602.9	417	6.2
								1602.1	418	6.6
								1601.3	419	6.1
								1600.4	420	7.8
								1599.6	421	7.8
								1598.8	422	5.7
								1597.9	423	3.8
								1597.1	424	7.1
								1596.3	425	8.5
								1595.4	426	6.9
								1594.6	427	4.0
								1593.8	428	6.8
								1592.9	429	6.7
								1592.1	430	6.7
								1591.3	431	6.1
								1590.4	432	8.0
								1589.6	433	7.8
								1588.8	434	7.7
								1588.0	435	6.5
								1587.1	436	8.2
								1586.3	437	11.5
								1585.5	438	11.5
								1584.6	439	8.1
								1583.8	440	9.3
								1583.0	441	9.5
								1582.1	442	9.3
								1581.3	443	8.2
								1580.5	444	5.8
								1579.6	445	6.1
								1578.8	446	6.6
								1578.0	447	8.0
								1577.1	448	7.3
								1576.3	449	8.0
								1575.5	450	7.0
								1574.6	451	7.2
								1573.8	452	6.8
								1573.0	453	6.9
								1572.2	454	7.7
								1571.3	455	7.4
								1570.5	456	6.8
								1569.7	457	7.4
								1568.8	458	7.2
								1568.0	459	6.2
								1567.2	460	6.5
								1566.3	461	6.6
								1565.5	462	7.5
								1564.7	463	7.4
								1563.8	464	6.8
								1563.0	465	7.0
								1562.2	466	8.9
								1561.3	467	10.3
								1560.5	468	9.3
								1559.7	469	8.6
								1558.9	470	8.4
								1558.0	471	7.7
								1557.2	472	7.3
								1556.4	473	6.9
								1555.5	474	8.7
								1554.7	475	8.4
								1553.9	476	8.2
								1553.0	477	7.5
								1552.2	478	8.1
								1551.4	479	8.1
								1550.5	480	6.5
								1549.7	481	7.8
								1548.9	482	8.4
								1548.0	483	8.5
								1547.2	484	8.8
								1546.4	485	8.2
								1545.5	486	8.1
								1544.7	487	7.4
								1543.9	488	8.3
								1543.1	489	8.3
								1542.2	490	8.2
								1541.4	491	8.1
								1540.6	492	5.8
								1539.7	493	8.5
								1538.9	494	8.5
								1538.1	495	8.3
								1537.2	496	8.2
								1536.4	497	8.1
								1535.6	498	7.7
								1534.7	499	8.1
								1533.9	500	8.1
								1533.1	501	8.6
								1532.2	502	8.2
								1531.4	503	9.6
								1530.6	504	9.3
								1529.7	505	8.2
								1528.9	506	9.2
								1528.1	507	8.0
								1527.3	508	7.2
								1526.4	509	7.8
								1525.6	510	8.0
								1524.8	511	8.5
								1523.9	512	8.3
								1523.1	513	8.3
								1522.3	514	8.6
								1521.4	515	9.1
								1520.6	516	9.3
								1519.8	517	9.0
								1518.9	518	8.0
								1518.1	519	7.6
								1517.3	520	
								1516.4	521	7.6
								1515.6	522	6.9
								1514.8	523	7.1
								1514.0	524	
								1513.1	525	
								1512.3	526	8.1
								1511.5	527	8.8
								1510.6	528	9.3
								1509.8	529	
								1509.0	530	7.7
								1508.1	531	7.1
								1507.3	532	7.1
								1506.5	533	7.1
								1505.6	534	8.3
								1504.8	535	8.1
								1504.0	536	8.2
								1503.1	537	8.3
								1502.3	538	7.9
								1501.5	539	7.4
								1500.6	540	8.1
								1499.8	541	7.7
								1499.0	542	7.7
								1498.2	543	8.2
								1497.3	544	
								1496.5	545	
								1495.7	546	
								1494.8	547	
								1494.0	548	
								1493.2	549	
								1492.3	550	
								1491.5	551	
								1490.7	552	
								1489.8	553	
								1489.0	554	
								1488.2	555	
								1487.3	556	
								1486.5	557	
								1485.7	558	
								1484.9	559	
								1484.0	560	
								1483.2	561	
								1482.4	562	8.9
								1481.5	563	8.2
								1480.7	564	10.8
								1479.9	565	10.2
								1479.0	566	9.5
								1478.2	567	8.7
								1477.4	568	8.9
								1476.5	569	9.1
								1475.7	570	9.1
								1474.9	571	9.7
								1474.0	572	8.3
								1473.2	573	8.5
								1472.4	574	9.9
								1471.6	575	10.1
								1470.7	576	9.6
								1469.9	577	7.5
								1469.1	578	8.5
								1468.2	579	8.8
								1467.4	580	8.7
								1466.6	581	9.1
								1465.7	582	7.7
								1464.9	583	10
								1464.1	584	10.2
								1463.2	585	10.8
								1462.4	586	8.7
								1461.6	587	9
								1460.7	588	10.4
								1459.9	589	10.6
								1459.1	590	10.6
								1458.2	591	9.2
								1457.4	592	8.1
								1456.6	593	8.5
								1455.8	594	9.6
								1454.9	595	8.7
								1454.1	596	8.4
