Date	INDICATORS_BCI_M	INDICATORS_CCI_M
2017-04-01	100.9483	100.2723
2017-05-01	101.0091	100.2611
2017-06-01	101.0727	100.2516
2017-07-01	101.144	100.2758
2017-08-01	101.2212	100.3029
2017-09-01	101.3015	100.3788
2017-10-01	101.381	100.4631
2017-11-01	101.4518	100.5165
2017-12-01	101.4996	100.5268
2018-01-01	101.5099	100.5098
2018-02-01	101.4973	100.4718
2018-03-01	101.4761	100.4265
2018-04-01	101.4536	100.3785
2018-05-01	101.432	100.3409
2018-06-01	101.4117	100.3013
2018-07-01	101.3932	100.2594
2018-08-01	101.3786	100.2119
2018-09-01	101.3705	100.1666
2018-10-01	101.3672	100.1085
2018-11-01	101.3521	100.0442
2018-12-01	101.2964	99.95122
2019-01-01	101.1748	99.81437
2019-02-01	101.0202	99.66425
2019-03-01	100.873	99.49489
2019-04-01	100.761	99.33175
2019-05-01	100.6737	99.12716
2019-06-01	100.5965	98.89611
2019-07-01	100.5218	98.64693
2019-08-01	100.4479	98.42068
2019-09-01	100.3774	98.29372
2019-10-01	100.3138	98.41241
2019-11-01	100.2544	98.70912
2019-12-01	100.1965	98.94791
2020-01-01	NA	99.11253
