subj_idx,rt,response,sensoryCondition,session,half,corrChoice,stimCodedCorrChoice,third,stimName,keyHit
1,0.50307,0,5,1,2,2,1,3,AT,1
1,0.70129,0,1,1,2,2,1,3,A,1
1,0.58091,1,3,1,2,2,1,3,AT,2
1,1.1889,0,3,1,2,1,0,3,AT,2
1,0.68875,1,4,1,2,1,0,3,AT,1
1,0.65037,1,1,1,2,1,0,3,A,1
1,0.73415,1,2,1,2,2,1,3,T,2
1,0.8236,1,2,1,2,1,0,3,T,1
1,0.55675,1,4,1,2,2,1,3,AT,2
1,0.72277,1,5,1,2,2,1,3,AT,2
1,0.68633,1,5,1,2,1,0,3,AT,1
1,0.99205,1,1,1,2,2,1,3,A,2
1,0.91447,1,2,1,2,2,1,3,T,2
1,0.79135,1,2,1,2,1,0,3,T,1
1,0.84257,1,3,1,2,1,0,3,AT,1
1,0.69162,1,3,1,2,2,1,3,AT,2
1,0.94124,1,4,1,2,2,1,3,AT,2
1,0.932,1,1,1,2,1,0,3,A,1
1,0.83478,1,4,1,2,1,0,3,AT,1
1,0.72695,1,3,1,2,1,0,3,AT,1
1,1.0004,1,1,1,2,2,1,3,A,2
1,1.771,0,1,1,2,1,0,3,A,2
1,0.79086,0,2,1,2,2,1,3,T,1
1,1.3881,1,5,1,2,1,0,3,AT,1
1,0.78337,1,2,1,2,1,0,3,T,1
1,0.61464,1,5,1,2,2,1,3,AT,2
1,0.77854,1,4,1,2,1,0,3,AT,1
1,0.66582,1,4,1,2,2,1,3,AT,2
1,0.67356,1,3,1,2,2,1,3,AT,2
1,0.60935,1,2,1,2,1,0,3,T,1
1,0.71318,0,4,1,2,2,1,3,AT,1
1,0.72671,1,1,1,2,2,1,3,A,2
1,0.63212,1,5,1,2,2,1,3,AT,2
1,0.75593,1,3,1,2,2,1,3,AT,2
1,0.77327,1,5,1,2,1,0,3,AT,1
1,1.1286,1,2,1,2,2,1,3,T,2
1,0.64076,0,4,1,2,1,0,3,AT,2
1,1.8925,0,3,1,2,1,0,3,AT,2
1,0.79399,1,1,1,2,1,0,3,A,1
1,0.94437,1,1,1,2,2,1,3,A,2
1,0.65715,1,4,1,2,1,0,3,AT,1
1,0.58689,0,2,1,2,1,0,3,T,2
1,0.7389,1,4,1,2,2,1,3,AT,2
1,0.67432,1,3,1,2,2,1,3,AT,2
1,0.81603,1,3,1,2,1,0,3,AT,1
1,1.1091,1,5,1,2,2,1,3,AT,2
1,0.88931,1,5,1,2,1,0,3,AT,1
1,0.65614,0,1,1,2,1,0,3,A,2
1,0.7839,1,2,1,2,2,1,3,T,2
1,1.2393,0,3,1,2,2,1,3,AT,1
1,1.449,0,1,1,2,2,1,3,A,1
1,0.88199,1,2,1,2,1,0,3,T,1
1,1.125,1,5,1,2,1,0,3,AT,1
1,0.80711,1,2,1,2,2,1,3,T,2
1,0.6883,0,4,1,2,1,0,3,AT,2
1,0.71182,0,1,1,2,1,0,3,A,2
1,0.54347,1,4,1,2,2,1,3,AT,2
1,0.60159,1,5,1,2,2,1,3,AT,2
1,1.6295,0,3,1,2,1,0,3,AT,2
1,1.5389,1,3,1,2,1,0,3,AT,1
1,1.8417,0,2,1,2,1,0,3,T,2
1,1.1694,1,2,1,2,2,1,3,T,2
1,0.98531,1,5,1,2,2,1,3,AT,2
1,0.67786,1,4,1,2,2,1,3,AT,2
1,0.57552,1,1,1,2,2,1,3,A,2
1,1.2335,0,1,1,2,1,0,3,A,2
1,0.63133,1,4,1,2,1,0,3,AT,1
1,0.58914,0,3,1,2,2,1,3,AT,1
1,0.5011,1,5,1,2,1,0,3,AT,1
1,0.97528,1,2,1,2,1,0,3,T,1
1,0.73593,1,3,1,2,1,0,3,AT,1
1,0.84346,0,5,1,2,2,1,3,AT,1
1,0.91255,0,1,1,2,2,1,3,A,1
1,1.5995,0,5,1,2,1,0,3,AT,2
1,0.75197,1,4,1,2,1,0,3,AT,1
1,2.0673,1,3,1,2,2,1,3,AT,2
1,0.96032,1,2,1,2,2,1,3,T,2
1,1.051,1,1,1,2,1,0,3,A,1
1,0.73946,0,4,1,2,2,1,3,AT,1
1,0.77587,1,4,1,2,1,0,3,AT,1
1,0.96319,1,4,1,2,2,1,3,AT,2
1,0.71789,1,5,1,2,2,1,3,AT,2
1,0.69141,1,1,1,2,2,1,3,A,2
1,0.72501,1,3,1,2,1,0,3,AT,1
1,0.91852,0,2,1,2,1,0,3,T,2
1,2.5394,0,2,1,2,2,1,3,T,1
1,0.72671,0,1,1,2,1,0,3,A,2
1,1.5341,1,3,1,2,2,1,3,AT,2
1,0.99896,0,5,1,2,1,0,3,AT,2
1,0.8395,0,1,1,2,2,1,3,A,1
