007A1FS20AE075004200000NT    	
3	2086
3	1501
2	3213
4	3004
4	1913
3	4024
4	1690
2	2028
3	1319
4	3300
6	1483
5	1374
1	2127
2	3511
4	2250
3	1900
3	1579
2	1741
5	1685
4	3227
3	2581
2	2908
4	1934
1	1583
5	2887
2	2357
5	1946
3	2711
3	3137
3	3963
4	3292
2	2161
4	2383
2	2851
3	2199
1	4080
5	3025
5	3926
6	1703
2	3026
2	2663
2	3713
2	1783
1	2701
4	2784
5	2110
5	2643
2	4377
3	2393
5	2992
5	4648
3	2716
5	3532
3	2571
2	2691
3	2344
4	1533
3	2843
2	2917
3	2952
1	3148
3	1753
5	1956
6	2631
3	2458
4	2378
4	2034
3	2192
2	2504
2	3763
2	2448
2	2454
1	4086
4	2091
5	4529
6	2917
4	3323
3	4321
3	2331
4	2325
3	2647
2	2205
3	1559
2	3085
5	2008
4	1977
4	2804
2	2704
3	3630
2	3924
2	2401
3	2623
4	2058
037A1MN22AE000000002112NV	
6	4406
6	4291
4	3648
4	2623
3	3084
6	4612
6	2942
6	1159
4	3474
2	1753
1	8708
6	1927
6	5067
4	3327
7	2386
2	2098
1	2059
4	2122
4	2696
5	4462
6	4073
2	1354
2	2186
4	1688
2	1709
2	2209
2	3253
4	2342
4	1701
4	2029
4	1194
4	2311
4	2009
4	1884
2	1474
4	1500
4	1079
2	5699
2	1669
6	2023
4	3851
5	2769
4	2617
2	4580
2	1902
6	1493
4	1762
4	2505
4	3346
6	1981
5	5489
4	1247
2	1542
4	1662
5	2226
4	5295
4	5700
4	2692
4	1778
4	1414
4	4375
4	3871
4	1134
2	2859
4	2942
4	1488
5	1527
6	2192
4	2669
2	2611
2	1748
4	4068
3	1469
4	1840
4	880
4	910
3	1189
4	1132
3	1217
2	3065
3	936
4	2109
4	2335
3	4983
3	3799
4	2583
5	3031
2	2504
4	3878
6	1344
6	1923
6	3478
6	8492
3	6630
5	1821
6	1516
4	3536
4	2252
6	2452
6	2619
2	5415
6	1527
4	2388
4	2157
2	2315
3	1966
3	2964
6	1646
6	2434
6	2299
2	2354
2	3285
6	1513
6	1497
6	1628
6	2359
6	3407
2	5255
6	2126
2	2095
4	3296
3	2602
2	2481
4	2535
4	2219
6	2818
4	3325
6	2796
6	2036
3	2109
4	2496
4	1606
5	3818
6	4911
3	3242
2	1996
6	1678
5	3098
4	2331
6	2293
4	5787
5	3310
6	3818
4	2545
5	3097
5	2491
3	2224
6	1319
6	1658
6	9310
6	3866
6	1977
3	1862
6	1608
4	2256
4	3753
038A1FS17YE078009900000NT	
6	1974
4	3646
6	1327
4	1147
5	3300
3	1696
3	3476
5	1276
5	8003
3	177
5	1725
5	2059
5	1570
4	1204
3	3969
5	2636
5	3629
5	3653
6	3792
6	1176
4	3234
4	2989
3	5625
3	1053
4	1796
4	3794
2	3557
5	2865
5	4428
4	2182
4	3775
4	6214
4	3057
3	1608
4	1521
4	4684
3	2148
3	3845
3	1043
5	1876
5	259
4	2324
5	2096
5	4461
6	2063
4	1751
6	1925
4	4154
6	4119
4	1397
5	6362
5	828
6	2119
5	2926
4	2915
4	4074
3	3414
3	2100
4	5014
4	1488
5	4414
6	2515
4	3367
3	4033
4	4848
2	4470
5	2791
3	5636
5	1168
6	3335
4	1821
4	1743
4	1261
6	2233
5	6051
3	1315
5	1486
4	1520
3	6358
2	1923
3	2918
3	1579
4	2117
3	1681
5	3516
5	2242
6	1487
4	3799
5	6335
6	968
3	2982
5	4087
3	2822
5	1918
2	2414
5	2618
3	1638
4	2611
6	2920
5	1152
5	6127
4	2429
3	7034
4	1105
2	2501
4	3533
4	1633
4	6417
3	1536
5	1589
3	2796
2	1523
6	4872
5	1668
5	2495
6	3126
6	2763
5	6256
4	4411
5	1859
3	1217
2	3232
2	2421
6	2353
2	2780
6	1966
6	2113
2	3420
3	1909
4	2966
5	4876
2	2082
6	1780
3	1894
3	3379
6	203
5	4258
6	8394
5	1967
3	2927
3	4084
5	2502
3	2915
5	4969
4	2795
3	6036
3	4590
5	1892
3	2103
5	1969
4	148
3	2640
4	3475
4	1611
5	3906
4	1410
040A2FS18AE095009500000NT	
7	5562
5	4182
4	1640
2	2467
1	2212
3	2060
6	4833
2	1482
3	1609
2	6985
2	2494
3	2125
2	3308
3	1039
1	2397
7	6884
5	4619
4	3736
7	1656
7	3110
1	2290
1	2059
1	3445
1	2364
3	3960
1	1628
3	3319
3	2647
5	2277
3	2486
2	2937
5	2238
2	1864
3	2976
1	5115
4	2839
5	3595
1	2425
5	2240
3	1633
6	4697
4	3075
7	2067
7	1988
7	1973
7	2874
1	1739
0	0
3	964
2	1525
5	3232
3	2661
3	1957
3	3060
3	2633
4	4237
3	1748
5	2415
3	2907
3	1486
3	1897
3	1463
3	3175
1	1750
2	3143
3	1901
4	5013
4	2439
5	1244
1	1475
2	1478
2	1774
2	1578
5	2409
7	2612
1	2604
6	5763
3	3447
2	3190
7	2845
3	2441
3	1618
4	4902
2	3132
3	3045
2	3007
3	3296
6	3638
3	1800
3	2438
7	1468
7	3239
7	2799
3	4847
1	1941
1	4586
6	2873
5	5966
5	3007
7	2568
1	2626
4	3340
2	3310
2	2299
2	4508
6	3355
5	5626
2	1309
2	2501
1	2236
2	4496
3	3768
3	3043
2	2916
1	2741
2	3526
3	1801
4	2104
5	3613
5	6989
2	6023
1	3437
1	5085
5	4057
5	5796
3	2705
6	4016
7	1803
7	4046
1	2993
1	3537
0	0
2	2306
1	2626
3	1496
3	3845
6	2207
3	2367
7	2283
7	2857
7	2334
7	7138
1	1745
1	1913
1	1733
3	2374
2	3275
4	6478
3	1579
3	3301
3	3703
2	2332
3	5682
3	5071
3	3667
3	2731
041A1MS20AE105006200000NV	
5	3517
7	4530
6	2147
6	3982
2	5478
1	2760
5	3574
6	4008
5	1967
1	2037
3	2967
5	1359
1	1670
5	2358
2	2463
1	2123
6	2233
3	2627
5	2569
3	2813
2	1873
4	4006
5	2832
5	1708
2	3351
4	2994
2	2424
4	1955
3	4509
4	2539
2	2767
2	1837
1	1593
5	3268
3	4145
2	1511
2	2114
2	2048
5	1389
5	3231
5	2186
6	2248
2	4873
3	3885
5	1715
5	1446
4	4145
5	1486
3	3001
5	4341
6	4732
2	3604
1	4033
1	1195
6	2182
6	2293
4	2697
4	1791
5	2188
3	5277
6	2481
5	2250
5	1135
4	5440
5	2315
5	3743
5	3491
6	3177
6	5636
2	2749
1	1562
1	1751
5	1681
5	2116
7	4454
5	1621
3	4125
3	4309
2	1357
4	3212
2	1823
4	2054
5	1409
1	1459
2	3813
5	1804
3	2966
2	1918
1	3111
6	4534
4	4777
4	4300
2	3183
4	1900
5	3278
3	4207
3	3770
2	5994
6	3590
6	2852
1	1648
6	2013
4	3968
5	3717
3	3545
5	3165
2	1956
5	1834
3	1831
5	2409
2	7836
3	6811
5	1953
4	1724
5	3617
6	3722
7	1802
1	3309
5	2505
2	4183
1	2779
1	6414
2	2332
4	2095
5	2820
3	5629
4	3450
1	2095
4	3913
2	1648
3	2174
3	4766
2	3245
1	1579
1	1879
1	1546
6	1686
6	1998
6	2047
4	3861
2	3480
2	2208
5	2619
4	3219
2	3579
4	2318
2	2783
6	2715
3	2105
4	2421
2	2869
6	2146
1	1236
2	1689
1	1946
1	2292
042A1MS22AE067007800000NV	
3	2405
3	2823
3	2153
5	4327
4	1409
4	4512
3	4359
3	3209
4	1972
4	2731
4	3371
4	6198
4	7783
4	5514
5	3625
4	3986
3	2678
2	3355
5	1839
4	2693
4	3986
2	4541
2	5717
4	2404
4	2693
3	4801
3	2341
4	1829
5	2721
4	4290
3	1397
4	6303
3	3807
4	2142
4	1708
3	3230
2	5911
3	8151
3	5630
5	7413
4	1322
4	2570
4	5388
2	4783
5	1348
4	2439
5	5418
5	1901
5	4078
5	1850
4	3117
2	2874
3	3714
3	3620
4	2435
5	5700
5	2899
3	2567
3	3276
3	7449
5	1746
4	2671
5	1390
3	4756
3	7214
3	3674
5	4483
5	3973
4	2440
3	3351
5	5267
3	3843
4	1542
3	1626
4	2418
4	1371
4	1505
4	1541
3	2541
3	1413
5	2453
5	3412
3	4338
4	4118
3	3318
4	4237
5	2713
5	5367
4	2486
5	2519
2	4332
3	2317
3	4775
3	2527
3	3341
3	2056
3	3289
4	3263
5	3481
2	3232
3	5233
4	3016
3	2897
3	3801
4	2354
3	3114
4	4010
3	2301
3	3781
4	4198
4	4410
3	3019
5	3246
5	2272
4	2790
5	3050
3	3948
3	2131
2	3437
2	4233
3	2477
4	2798
3	2124
3	2598
3	2327
3	4615
4	2171
5	2711
3	4686
3	4130
4	2325
3	3093
2	3026
4	2053
4	1745
0	0
4	1992
4	2703
4	3065
4	2434
4	2566
3	2892
3	4463
4	2349
2	2801
4	3345
3	4092
4	3096
5	2304
5	2118
4	4086
3	3453
4	3600
3	3770
3	5100
3	2808
044A2FS20AE086005400000NV	
6	2472
6	2645
3	2242
1	3077
2	2719
2	3006
7	3152
7	2300
1	2411
1	2641
1	3948
1	3093
6	3179
4	2572
4	2487
4	2055
3	3941
4	3325
6	2325
7	3631
7	2067
1	2280
1	3023
1	3152
5	4060
3	4541
3	2358
3	3470
5	2757
4	3503
5	4138
3	3413
5	3035
4	2394
4	4373
5	4650
3	2432
2	2163
2	3484
6	2684
6	2147
6	3105
4	2064
4	2804
4	6422
3	3040
4	2302
4	2448
6	2441
5	3018
5	2352
3	3286
3	6734
3	2509
5	2417
5	2812
1	3989
4	5492
3	2995
3	3033
6	2414
6	3383
6	2790
2	2499
3	2440
1	3158
5	3219
4	2793
5	2495
4	2538
6	3223
3	3453
2	3808
7	2152
0	0
1	2799
3	3015
2	8751
3	2205
6	2510
4	4513
3	6997
1	4215
5	4102
4	3122
5	2888
4	2932
3	3178
3	3799
